benchmark_scale,benchmark_directory,upstream_path,upstream_git_blob,source_sha256,selection_reason,canonical_profile,canonical_status,canonical_error,canonical_sha256,qubits,gates_1q,gates_2q,strict_paired,pairing_reason,fidelity_paired,M1__fidelity,M1__log_fidelity,M1__transfers,M1__move_batches,M1__move_time_ms,M1__algorithm_time_s,M1__valid_over_N,M1__status,M1__terminal_status,M1__fidelity_ood,M1__seed_policy,M2__fidelity,M2__log_fidelity,M2__transfers,M2__move_batches,M2__move_time_ms,M2__algorithm_time_s,M2__valid_over_N,M2__status,M2__terminal_status,M2__fidelity_ood,M2__seed_policy,M3__fidelity,M3__log_fidelity,M3__transfers,M3__move_batches,M3__move_time_ms,M3__algorithm_time_s,M3__valid_over_N,M3__status,M3__terminal_status,M3__fidelity_ood,M3__seed_policy,M3__initial_placement_s,M3__problem_preparation_s,M3__native_search_s,M3__search_kernel_s,M3__return_match_s,M3__forecast_s,M3__result_commit_s,M3__routing_s,M4__fidelity,M4__log_fidelity,M4__transfers,M4__move_batches,M4__move_time_ms,M4__algorithm_time_s,M4__valid_over_N,M4__status,M4__terminal_status,M4__fidelity_ood,M4__seed_policy,M4__initial_placement_s,M4__problem_preparation_s,M4__native_search_s,M4__search_kernel_s,M4__return_match_s,M4__forecast_s,M4__result_commit_s,M4__routing_s
medium,bigadder_n18,medium/bigadder_n18/bigadder_n18_transpiled.qasm,5539025559d6e424246e297b610e9061bc944b0f,a49ee4cd0b5320faa606a4adcac5f3cc82218d544c701a185126b5c3cf6e8c90,preferred_transpiled,qasmbench_standard_expand_v1,success,,d495283ff44e6a3803e9aef03fb7d2091a7087b66b4097267a144502abb00d96,18,460,130,False,"invalid_or_missing:M1,M2,M3,M4",False,,,,,,,0/1,incomplete,missing,False,seed0,,,,,,,0/1,incomplete,missing,False,seed0,,,,,,,0/1,incomplete,missing,False,interim_seed0,,,,,,,,,,,,,,,0/1,incomplete,missing,False,interim_seed0,,,,,,,,
medium,bv_n14,medium/bv_n14/bv_n14_transpiled.qasm,06add4a25cd5944b81074301db17a141494bb396,edcef19ef3ef9fdae0c3072ec546618d9fb7c2d7ef44a4c5e49b031109fdd60d,preferred_transpiled,qasmbench_standard_expand_v1,success,,0278758fcd229ba9747e495cf275da7bf1ed6e3dca2d950f349cc18e143cf0bd,14,107,13,False,"invalid_or_missing:M1,M2,M3,M4",False,,,,,,,0/1,incomplete,missing,False,seed0,,,,,,,0/1,incomplete,missing,False,seed0,,,,,,,0/1,incomplete,missing,False,interim_seed0,,,,,,,,,,,,,,,0/1,incomplete,missing,False,interim_seed0,,,,,,,,
medium,bv_n19,medium/bv_n19/bv_n19_transpiled.qasm,baa5a58938895d87b5b64cb6e70f0e824c07193b,3218ffba591c1c889a22315b4e9f5680aabf7ce79181e8bf9188693318f22562,preferred_transpiled,qasmbench_standard_expand_v1,success,,eecbffa8d00f3313de7b332fd4ac3203ff86ba14b1914c608ac2d76b25736c5b,19,147,18,False,"invalid_or_missing:M1,M2,M3,M4",False,,,,,,,0/1,incomplete,missing,False,seed0,,,,,,,0/1,incomplete,missing,False,seed0,,,,,,,0/1,incomplete,missing,False,interim_seed0,,,,,,,,,,,,,,,0/1,incomplete,missing,False,interim_seed0,,,,,,,,
medium,bwt_n21,medium/bwt_n21/bwt_n21_transpiled.qasm,de07696f5ec7a628bd14ac2120b1f1678a7e009b,edaf35acaae796f54f892bd6e8419c8ffcaebcaebc9b08100e24af38f8194ebe,preferred_transpiled,qasmbench_standard_expand_v1,canonical_error,QASMBenchCanonicalError: reset at line 57,,,,,False,canonical_error,False,,,,,,,0/1,canonical_error,canonical_error,False,not_applicable,,,,,,,0/1,canonical_error,canonical_error,False,not_applicable,,,,,,,0/1,canonical_error,canonical_error,False,not_applicable,,,,,,,,,,,,,,,0/1,canonical_error,canonical_error,False,not_applicable,,,,,,,,
medium,cat_state_n22,medium/cat_state_n22/cat_state_n22_transpiled.qasm,e4e81270d9f6278f04bef78ff9a7477a3328b47e,ec1a5aca140c4147abc75a5c9baddc6f62d3aacae643cadda9e680d3a6b54747,preferred_transpiled,qasmbench_standard_expand_v1,success,,29b6002025beaa08301e7fddb91ca25835a9fe4457ecfb60f94e1a6061f3888c,22,45,21,False,"invalid_or_missing:M1,M2,M3,M4",False,,,,,,,0/1,incomplete,missing,False,seed0,,,,,,,0/1,incomplete,missing,False,seed0,,,,,,,0/1,incomplete,missing,False,interim_seed0,,,,,,,,,,,,,,,0/1,incomplete,missing,False,interim_seed0,,,,,,,,
medium,cc_n12,medium/cc_n12/cc_n12_transpiled.qasm,2ac35a1d274de93022894ecfb9f0b1a7845232bc,48e7e6310bb268e8f31bf538a63b3647d8234bdca6c10f7e8bee17bb5099cf11,preferred_transpiled,qasmbench_standard_expand_v1,canonical_error,QASMBenchCanonicalError: conditional operation at line 50,,,,,False,canonical_error,False,,,,,,,0/1,canonical_error,canonical_error,False,not_applicable,,,,,,,0/1,canonical_error,canonical_error,False,not_applicable,,,,,,,0/1,canonical_error,canonical_error,False,not_applicable,,,,,,,,,,,,,,,0/1,canonical_error,canonical_error,False,not_applicable,,,,,,,,
medium,dnn_n16,medium/dnn_n16/dnn_n16_transpiled.qasm,a31576fa48ee9360d805e76b19c8b3bcd72873ce,24c990e5731095726230710340781b789af20e884da5b8870f5b3cfc4141426b,preferred_transpiled,qasmbench_standard_expand_v1,success,,ccd726657517c993c0677552b03b21b18771d987981eb501c7191dba9bc35c52,16,3216,384,False,"invalid_or_missing:M1,M2,M3,M4",False,,,,,,,0/1,incomplete,missing,False,seed0,,,,,,,0/1,incomplete,missing,False,seed0,,,,,,,0/1,incomplete,missing,False,interim_seed0,,,,,,,,,,,,,,,0/1,incomplete,missing,False,interim_seed0,,,,,,,,
medium,factor247_n15,medium/factor247_n15/factor247_n15.qasm,667ecfc3f48d73b7b0ce0548bcf289e75bbf87cd,eb18ab2af0cb5c41e4901104bef1a28626676e8d9be4839b0bf597ba81e4f11c,preferred_named,qasmbench_standard_expand_v1,success,,800a2e17743b00533d3f4fd5d6b681535a3396caf48e10871302ca67d1aa73c1,15,1048057,295961,False,"invalid_or_missing:M1,M2,M3,M4",False,,,,,,,0/1,incomplete,missing,False,seed0,,,,,,,0/1,incomplete,missing,False,seed0,,,,,,,0/1,incomplete,missing,False,interim_seed0,,,,,,,,,,,,,,,0/1,incomplete,missing,False,interim_seed0,,,,,,,,
medium,gcm_n13,medium/gcm_n13/gcm_h6.qasm,9bacc7e68efe1de7ab29090a8e0241b88eb7c368,2519fdb644635c9f21671c725c23d83893e2b62ccfd926fe2d85b868a01e2bcd,sole_qasm,qasmbench_standard_expand_v1,success,,1eb9cb005f946eeaf9472dff25f6b68ed58877afbdc45f36ce8534dc4c8d58f9,13,3910,762,False,"invalid_or_missing:M1,M2,M3,M4",False,,,,,,,0/1,incomplete,missing,False,seed0,,,,,,,0/1,incomplete,missing,False,seed0,,,,,,,0/1,incomplete,missing,False,interim_seed0,,,,,,,,,,,,,,,0/1,incomplete,missing,False,interim_seed0,,,,,,,,
medium,ghz_state_n23,medium/ghz_state_n23/ghz_state_n23_transpiled.qasm,69de97b1828a388f14a91c962e4a65232132a286,c1d2608599c08eabe4afe3cd9858db963e40a3a5423028e0f43f03d8fa39a4ff,preferred_transpiled,qasmbench_standard_expand_v1,success,,d52fb3d97b3c69c4555d6a068655b90cc24d335eb00b7b5fb019c41a289b0c25,23,47,22,False,"invalid_or_missing:M1,M2,M3,M4",False,,,,,,,0/1,incomplete,missing,False,seed0,,,,,,,0/1,incomplete,missing,False,seed0,,,,,,,0/1,incomplete,missing,False,interim_seed0,,,,,,,,,,,,,,,0/1,incomplete,missing,False,interim_seed0,,,,,,,,
