benchmark_scale,benchmark_directory,upstream_path,upstream_git_blob,source_sha256,selection_reason,canonical_profile,canonical_status,canonical_error,canonical_sha256,qubits,gates_1q,gates_2q,strict_paired,pairing_reason,fidelity_paired,M1__fidelity,M1__log_fidelity,M1__transfers,M1__move_batches,M1__move_time_ms,M1__algorithm_time_s,M1__valid_over_N,M1__status,M1__terminal_status,M1__fidelity_ood,M1__seed_policy,M2__fidelity,M2__log_fidelity,M2__transfers,M2__move_batches,M2__move_time_ms,M2__algorithm_time_s,M2__valid_over_N,M2__status,M2__terminal_status,M2__fidelity_ood,M2__seed_policy,M3__fidelity,M3__log_fidelity,M3__transfers,M3__move_batches,M3__move_time_ms,M3__algorithm_time_s,M3__valid_over_N,M3__status,M3__terminal_status,M3__fidelity_ood,M3__seed_policy,M3__initial_placement_s,M3__problem_preparation_s,M3__native_search_s,M3__search_kernel_s,M3__return_match_s,M3__forecast_s,M3__result_commit_s,M3__routing_s,M4__fidelity,M4__log_fidelity,M4__transfers,M4__move_batches,M4__move_time_ms,M4__algorithm_time_s,M4__valid_over_N,M4__status,M4__terminal_status,M4__fidelity_ood,M4__seed_policy,M4__initial_placement_s,M4__problem_preparation_s,M4__native_search_s,M4__search_kernel_s,M4__return_match_s,M4__forecast_s,M4__result_commit_s,M4__routing_s
small,adder_n10,small/adder_n10/adder_n10_transpiled.qasm,da7853e491abae32990c770843dabb85a9f0c5aa,9902ec12307aa32f3609989bba8a2e8ae390839dd447f38d60ea9e7945bb449d,preferred_transpiled,qasmbench_standard_expand_v1,success,,55195eb1c6f2fc9c345d4d3433db33a0bcbb7ca44e9fef39a961a92ecf754739,10,231,65,False,"invalid_or_missing:M1,M2,M3,M4",False,,,,,,,0/1,incomplete,missing,False,seed0,,,,,,,0/1,incomplete,missing,False,seed0,,,,,,,0/1,incomplete,missing,False,interim_seed0,,,,,,,,,,,,,,,0/1,incomplete,missing,False,interim_seed0,,,,,,,,
small,adder_n4,small/adder_n4/adder_n4_transpiled.qasm,5b125e65610afff176fb8d7a0afe8d1c80a345bf,80f5f2971066a785dc09549b3575d1e6185ef02c834aa4aba53720a0275c6e5d,preferred_transpiled,qasmbench_standard_expand_v1,success,,578e0cdffa591ccc1b8d161ac27b5e0c3c27069a7382e6a1f2efa5175e8ecf35,4,37,10,False,"invalid_or_missing:M1,M2,M3,M4",False,,,,,,,0/1,incomplete,missing,False,seed0,,,,,,,0/1,incomplete,missing,False,seed0,,,,,,,0/1,incomplete,missing,False,interim_seed0,,,,,,,,,,,,,,,0/1,incomplete,missing,False,interim_seed0,,,,,,,,
small,basis_change_n3,small/basis_change_n3/basis_change_n3_transpiled.qasm,d14f1e052e6cbc88b949c87da043679f13b1868e,9ab3abbaafba655004a03a8fb4f27d3fd86fe4f3b732c6d0943de018c92c1456,preferred_transpiled,qasmbench_standard_expand_v1,success,,4b6dd25aa3ac94704d1e8725431df5bfb8a328957fab2b6a319e963e6b53a765,3,95,10,False,"invalid_or_missing:M1,M2,M3,M4",False,,,,,,,0/1,incomplete,missing,False,seed0,,,,,,,0/1,incomplete,missing,False,seed0,,,,,,,0/1,incomplete,missing,False,interim_seed0,,,,,,,,,,,,,,,0/1,incomplete,missing,False,interim_seed0,,,,,,,,
small,basis_trotter_n4,small/basis_trotter_n4/basis_trotter_n4_transpiled.qasm,d741d20fd5581d76b52ab91a94fccc0e3304b39b,69ca1ea778c225749fd8337b072cabfdb4b30bbeb56d0d2dd7f680918e3653e7,preferred_transpiled,qasmbench_standard_expand_v1,success,,3d554228f6cb92f84e014dd1f6a8553f4b11980d081f630b4052e136dc9c5aca,4,2935,582,False,"invalid_or_missing:M1,M2,M3,M4",False,,,,,,,0/1,incomplete,missing,False,seed0,,,,,,,0/1,incomplete,missing,False,seed0,,,,,,,0/1,incomplete,missing,False,interim_seed0,,,,,,,,,,,,,,,0/1,incomplete,missing,False,interim_seed0,,,,,,,,
small,bb84_n8,small/bb84_n8/bb84_n8_transpiled.qasm,df6e4db73296ae8b818e657f40dbde8dc80cf3f7,42c146ddc9528ba96db95a340da9c62b72e3865ebd0f41c31f96ba61ee7b2c72,preferred_transpiled,qasmbench_standard_expand_v1,canonical_error,QASMBenchCanonicalError: mid-circuit measurement before line 24,,,,,False,canonical_error,False,,,,,,,0/1,canonical_error,canonical_error,False,not_applicable,,,,,,,0/1,canonical_error,canonical_error,False,not_applicable,,,,,,,0/1,canonical_error,canonical_error,False,not_applicable,,,,,,,,,,,,,,,0/1,canonical_error,canonical_error,False,not_applicable,,,,,,,,
small,bell_n4,small/bell_n4/bell_n4_transpiled.qasm,8b44d8a473e78b81d4ee7c4243975c79846da6e1,d6800ccde11e0deb01fa95e00f86bbc56e0620c9850e938f94293e414851e826,preferred_transpiled,qasmbench_standard_expand_v1,success,,a577a7d962af0dc6e509341517293916b016ff4b24b3a779a67ef9bcc98cb704,4,60,7,False,"invalid_or_missing:M1,M2,M3,M4",False,,,,,,,0/1,incomplete,missing,False,seed0,,,,,,,0/1,incomplete,missing,False,seed0,,,,,,,0/1,incomplete,missing,False,interim_seed0,,,,,,,,,,,,,,,0/1,incomplete,missing,False,interim_seed0,,,,,,,,
small,cat_state_n4,small/cat_state_n4/cat_state_n4_transpiled.qasm,a798748fc8f91739d8bb584547b05f40c0d8cb2e,0e64026e236ea56cf040fdf5f3a70108c36ae9429e66edcead19621b3a2663a5,preferred_transpiled,qasmbench_standard_expand_v1,success,,5e0e6d130022ab2600282d8d20bd9f030eb97c2508d08a3afe6afb285e630c31,4,9,3,False,"invalid_or_missing:M1,M2,M3,M4",False,,,,,,,0/1,incomplete,missing,False,seed0,,,,,,,0/1,incomplete,missing,False,seed0,,,,,,,0/1,incomplete,missing,False,interim_seed0,,,,,,,,,,,,,,,0/1,incomplete,missing,False,interim_seed0,,,,,,,,
small,deutsch_n2,small/deutsch_n2/deutsch_n2_transpiled.qasm,adc60e86ad25321a2fe9887b867091c04ff063d0,14c55c45de3c75127714b554dd611e96a83241c0568632367978dd6709791858,preferred_transpiled,qasmbench_standard_expand_v1,success,,89a6eebb020d0b42bf2c1d335b7ebc3e8bc151a5cc37455f2fc29249bb79c7d3,2,11,1,False,"invalid_or_missing:M1,M2,M3,M4",False,,,,,,,0/1,incomplete,missing,False,seed0,,,,,,,0/1,incomplete,missing,False,seed0,,,,,,,0/1,incomplete,missing,False,interim_seed0,,,,,,,,,,,,,,,0/1,incomplete,missing,False,interim_seed0,,,,,,,,
small,dnn_n2,small/dnn_n2/dnn_n2_transpiled.qasm,2ef85f8cd097b2b09f0c3e8d187eac90108e98af,a282f22f732b33f3d8c261656befffa752595a0067e94f2be2797cde82a2f096,preferred_transpiled,qasmbench_standard_expand_v1,success,,d2d90ba79dfb2f85a0b6eaec0087f8100b46d883b0e4742fe4d240b95f1210e7,2,348,42,False,"invalid_or_missing:M1,M2,M3,M4",False,,,,,,,0/1,incomplete,missing,False,seed0,,,,,,,0/1,incomplete,missing,False,seed0,,,,,,,0/1,incomplete,missing,False,interim_seed0,,,,,,,,,,,,,,,0/1,incomplete,missing,False,interim_seed0,,,,,,,,
small,dnn_n8,small/dnn_n8/dnn_n8_transpiled.qasm,11044604b4644aa3508b9c3eede7c4601baebb2d,627a32df69611b7240cd7d9e0d8c21e1bdddb73db92e0de4e9d6e5d7eb1e82e6,preferred_transpiled,qasmbench_standard_expand_v1,success,,cf9977e696aa3367a1963330c29cd2c4fa1a001c8a191bcfdc8b3a0b118c7fed,8,1608,192,False,"invalid_or_missing:M1,M2,M3,M4",False,,,,,,,0/1,incomplete,missing,False,seed0,,,,,,,0/1,incomplete,missing,False,seed0,,,,,,,0/1,incomplete,missing,False,interim_seed0,,,,,,,,,,,,,,,0/1,incomplete,missing,False,interim_seed0,,,,,,,,
small,error_correctiond3_n5,small/error_correctiond3_n5/error_correctiond3_n5_transpiled.qasm,610648467d26268b6a404e7a258b57a996734ec2,10ca04e8c340ce46a494d4ab40c4d267e975c8930cf9d2fe989b164944b3c6d0,preferred_transpiled,qasmbench_standard_expand_v1,success,,731eee3940cc26727fe9192a94c71b4aada9edd7b7fe008878bb83920cb150b7,5,286,49,False,"invalid_or_missing:M1,M2,M3,M4",False,,,,,,,0/1,incomplete,missing,False,seed0,,,,,,,0/1,incomplete,missing,False,seed0,,,,,,,0/1,incomplete,missing,False,interim_seed0,,,,,,,,,,,,,,,0/1,incomplete,missing,False,interim_seed0,,,,,,,,
small,fredkin_n3,small/fredkin_n3/fredkin_n3_transpiled.qasm,08d2a165c708832af93694ef6bc8a067025b1b4d,8cfa60c4d4d460472e675540d4f00c248415f2f2f1823523f5d5239d141db408,preferred_transpiled,qasmbench_standard_expand_v1,success,,9d51141a903c8f61565e993f8c78616757862c004581a6e09d4574a54c25ab3f,3,30,8,False,"invalid_or_missing:M1,M2,M3,M4",False,,,,,,,0/1,incomplete,missing,False,seed0,,,,,,,0/1,incomplete,missing,False,seed0,,,,,,,0/1,incomplete,missing,False,interim_seed0,,,,,,,,,,,,,,,0/1,incomplete,missing,False,interim_seed0,,,,,,,,
small,grover_n2,small/grover_n2/grover_n2_transpiled.qasm,c0f508155dba7f3f57c5e6844010982626282a4e,b08a4a6b64c420811b820153b3fa79d854d4ca3af18f94a78f09501507236961,preferred_transpiled,qasmbench_standard_expand_v1,success,,e73f286585c6d3201b37e81a71fb834ce3939776d5186676db835a8839f1953c,2,17,2,False,"invalid_or_missing:M1,M2,M3,M4",False,,,,,,,0/1,incomplete,missing,False,seed0,,,,,,,0/1,incomplete,missing,False,seed0,,,,,,,0/1,incomplete,missing,False,interim_seed0,,,,,,,,,,,,,,,0/1,incomplete,missing,False,interim_seed0,,,,,,,,
small,hhl_n10,small/hhl_n10/hhl_n10_transpiled.qasm,686b991839539ccf4450d93cfeaddcf288f1e732,02dacd7e0789c9650ff1628d2dc6525df701c0d919e684aa3f4837d50d24457b,preferred_transpiled,qasmbench_standard_expand_v1,success,,e78425f3c6e9da5fd17caa2c4d34b12974d5e03e6282148d5deec9dc97b10dd3,10,258585,59345,False,"invalid_or_missing:M1,M2,M3,M4",False,,,,,,,0/1,incomplete,missing,False,seed0,,,,,,,0/1,incomplete,missing,False,seed0,,,,,,,0/1,incomplete,missing,False,interim_seed0,,,,,,,,,,,,,,,0/1,incomplete,missing,False,interim_seed0,,,,,,,,
small,hhl_n7,small/hhl_n7/hhl_n7_transpiled.qasm,336b87309d80edb564716f083b92825e20bcc4aa,438b6f50950ee46577f76294228361b4ad6f93d8acab50cfca9fd63d022b85b5,preferred_transpiled,qasmbench_standard_expand_v1,success,,1abc2d308f1735187e62916bcedfcf335ea30957d7447504d00eec242896c0f2,7,1186,196,False,"invalid_or_missing:M1,M2,M3,M4",False,,,,,,,0/1,incomplete,missing,False,seed0,,,,,,,0/1,incomplete,missing,False,seed0,,,,,,,0/1,incomplete,missing,False,interim_seed0,,,,,,,,,,,,,,,0/1,incomplete,missing,False,interim_seed0,,,,,,,,
small,hs4_n4,small/hs4_n4/hs4_n4_transpiled.qasm,592099e60a37083615911e0eb5668336ab20da6c,41e6e581ca33e9a3e69a629a0e4c34160c07b858875321fa3b3ac4f9462676a1,preferred_transpiled,qasmbench_standard_expand_v1,success,,cdf71c5f40ce2c5bb4f14d382e254cedf3e8134c7edcbebdfb68563795f857a6,4,32,4,False,"invalid_or_missing:M1,M2,M3,M4",False,,,,,,,0/1,incomplete,missing,False,seed0,,,,,,,0/1,incomplete,missing,False,seed0,,,,,,,0/1,incomplete,missing,False,interim_seed0,,,,,,,,,,,,,,,0/1,incomplete,missing,False,interim_seed0,,,,,,,,
